"id,producto_id,sitio,titulo,contenido,puntuacion"
"1,1,Amazon,iPhone genial,El mejor telefono que he tenido,5.0"
"2,2,Amazon,Samsung bueno,Buena calidad pero bateria regular,4.0"
"3,3,Amazon,MacBook top,Rapida y silenciosa,5.0"
"4,4,Google,Nike OK,Comodas para caminar,3.5"
"5,5,Amazon,Sony audio,Excelente cancelacion ruido,4.5"
"6,6,Amazon,iPad util,Perfecta para trabajo,4.8"
"7,7,Amazon,Dell solida,Buena para oficina,4.0"
"8,8,Google,Adidas bien,Buenas para ejercicio,3.8"
"9,9,Amazon,Kindle perfecto,Ideal para lectores,4.9"
"10,10,Amazon,PS5 genial,Graficos impresionantes,4.7"
